id,page,cluster,cluster_label,stance,strongly_worded,summary,text,x,y
1,1,5,Support – Housing Affordability & Supply,support,False,H-GO should not have parking minimums at all and should be allowed city-wide as part of the changes to blanket...,"H-GO should not have parking minimums at all and should be allowed city-wide as part of the changes to blanket zoning, RCG is insufficient. If you want to increase supply you should not be restricting what kind of low and medium-density developments can be built where, let the market decide what is needed. We need homes now, and allowing H-GO everywhere improves density, which we desperately lack. These changes should have been made 20-30 years ago, don't make the same mistake again, do it now.",0.7327,0.0293
2,1,5,Support – Housing Affordability & Supply,support,False,I am in favour of this change.,"I am in favour of this change. The simple fact is that we need more housing. We can't keep building outward forever. I doubt people in established communities would care about this change if their communities had been zoned R-G in the first place. Nobody is protesting new communities like Belvedere, which are zoned entirely R-G/MU from the start.",0.7366,0.1342
3,1,5,Support – Housing Affordability & Supply,support,False,Upzoning should be done City wide to increase the freedom of residents to use their land in more productive ways...,Upzoning should be done City wide to increase the freedom of residents to use their land in more productive ways and allow for commercial and industrial uses in neighbourhoods just like we used to do as a special for thousands of years.,0.6347,-0.1297
4,1,5,Support – Housing Affordability & Supply,support,False,This is a good step towards building a more affordable and sustainable city.,"This is a good step towards building a more affordable and sustainable city. However I feel like it might not necessarily be enough to have a large impact on affordability especially when it comes to small business as well. This base zone should also allow commercial units with many different uses like restaurants, bakeries, coffee shops or offices.",0.6899,0.0179
5,1,5,Support – Housing Affordability & Supply,support,False,I'm in support!,I'm in support! Let's build some housing!,0.724,0.0639
6,1,5,Support – Housing Affordability & Supply,support,False,Hi !,Hi ! Pl. get this approved ASAP and Calgary needs urgent approval.,0.7779,0.1896
7,1,6,Support – Environmental & Sustainability,support,False,Finally the city is removing low-density zoning and allowing more flexibility.,"Finally the city is removing low-density zoning and allowing more flexibility. Thank you! I have wanted to redevelop my lot for a while, but the hassle of rezoning has always been a barrier. I am looking forward to being able to add additional suites to my lot, and hopefully, help reduce Calgary's urban sprawl problem!",0.8288,0.5633
8,1,6,Support – Environmental & Sustainability,support,False,Follow the Strong Towns philosophies.,"Follow the Strong Towns philosophies. Eliminate parking minimums, stop the continued expansion of the failed suburban experiment and return to a traditional development pattern. Return to a value-per-acre design philosophy. The current zoning and property tax regime encourages unproductive land use like surface parking lots.",0.6614,0.4282
9,2,1,Strong Opposition – Community Character,oppose,False,Newer neighborhoods already have multiple housing options.,"Newer neighborhoods already have multiple housing options. There is no need for changes at this time. I do not want to live in a [removed], full of uncoordinated properties or a structure sitting on my property line.",-0.7204,0.1573
10,2,5,Support – Housing Affordability & Supply,support,False,Rezoning to increase population density in Calgary is long overdue and will help address several ongoing issues such as urban...,"Rezoning to increase population density in Calgary is long overdue and will help address several ongoing issues such as urban sprawl, transit costs, cost of new community expansion (infrastructure), and providing additional homes for new Calgarians. I fully support this initiative.",0.755,0.0372
11,2,5,Support – Housing Affordability & Supply,support,False,I think it's great to see this blanket rezoning to make it easier to increase density without having to jump...,I think it's great to see this blanket rezoning to make it easier to increase density without having to jump through additional hoops to rezone. I hope that the few but very loud people who resist change won't stop you from doing the right thing!,0.7138,-0.1244
12,2,5,Support – Housing Affordability & Supply,support,False,How will existing tenants be protected?,How will existing tenants be protected? Is there anything that will keep landlords from evicting existing tenants so they can build a secondary suite or tear down existing buildings now they can have multiple buildings on that land plot without having to get a rezoning permit?,0.6125,0.1088
13,2,1,Strong Opposition – Community Character,oppose,False,"Ok, why is the an all out [removed] on single family homes?","Ok, why is the an all out [removed] on single family homes? I saved my entire life for my RC1 home. There are so many gaps in your blanket strategy. My term is ageism. This is not my first house but it is my first home. This plan is insensitive to the current home owners. Build your density on your vacant lands. This plan is a massive tax grab so you can give council a raise. Don’t [remove] my community. You’re not going to house the [removed] in a million dollar row house. Get your plan straight.",-0.5452,-0.0289
14,2,1,Strong Opposition – Community Character,oppose,False,I absolutely do NOT support the e proposed rezoning.,"I absolutely do NOT support the e proposed rezoning. My preference would be to leave the zoning as is and only redone where higher density housing fits well within the community. A compromise would be to bump each zone up by one level, so RC1 becomes RC2 and so on. I strongly believe that Calgary needs to provide neighbourhoods that are zoned RC1 for those residents who prefer to live in an RC1 neighbourhood. I do not want to live next to a multi unit home.",-0.7048,0.0298
15,2,5,Support – Housing Affordability & Supply,support,False,I think it's a great idea that will help provide more affordable housing options without drastically changing the feel of...,I think it's a great idea that will help provide more affordable housing options without drastically changing the feel of most neighborhoods. I hope it is applied across the whole city without any wealthy neighborhoods getting exceptions.,0.8439,-0.0836
16,2,3,Opposition – Infrastructure & Services,oppose,False,I have a very important remark: It doesn't matter if it will be allowed to build more housing unless minimal...,"I have a very important remark: It doesn't matter if it will be allowed to build more housing unless minimal parking, at least two staircases for apartments and similar rules are in effect, zoning is very important, it definitely shouldn't be very strict, but other rules that affect housing are important too. Thank you for your initiative!",0.0682,0.3683
17,2,5,Support – Housing Affordability & Supply,support,False,I think R-CG should also include buildings without ground floor entrances.,I think R-CG should also include buildings without ground floor entrances. Small scale walk up apartments used to be common and I don’t see them as more disruptive than townhomes. They can also have more living space for the same footprint because you don’t need to duplicate the stairs so many times,0.3356,-0.0228
18,2,5,Support – Housing Affordability & Supply,support,False,This can't happen fast enough.,This can't happen fast enough. Imagin if I could disect my home to house two or three families. Income for me houseing for others. Living in suberbia is the worst. Only thing that would be better is if there would be more home based shops sprinkled through out the communities.,0.5401,0.1551
19,2,1,Strong Opposition – Community Character,oppose,False,Let individuals and homeowners purchase lots.,"Let individuals and homeowners purchase lots. Developers are ruining this city. No character, no heart. Don't ruin established neighborhoods like what has happened to Altadore/Marda Loop. People live in",-0.5703,-0.1463
20,2,5,Support – Housing Affordability & Supply,support,False,"downtown for a reason, as do the individuals who live in less dense areas.","downtown for a reason, as do the individuals who live in less dense areas. Not everyone is entitled to have a ""800,000"" home. Build more units in the central area. I know for a fact that wealthy neighborhoods such as britannia or elbow park will not be building multiple unit buildings",0.7517,-0.0703
21,3,6,Support – Environmental & Sustainability,support,False,Strongly opposed to this virtue signalling that only benefits developers and actually decreases affordable housing.,Strongly opposed to this virtue signalling that only benefits developers and actually decreases affordable housing. Climate change hypocrites while you approve 15 new subdivisions last year with no developer paid tie in to mass transit or requirements for density or low income percentages. I gave detailed written feedback at the council meetings in the fall my councillor didn't even attend and am sure nobody read. Watched disgusting behavior from [personal information removed] and council to the citizens who spoke.,0.6397,0.5147
22,3,1,Strong Opposition – Community Character,oppose,False,Why rezone the entire city?,"Why rezone the entire city? Based on your information and FAQ, I see the rationale in older neighborhoods that are ready for redevelopment. Allowing rezoning in new neighbourhoods under construction means people have bought very expensive homes and locked themselves into mortgages on facts that are no longer true. There were supposed to be single family homes with yards and space behind me. What’s to stop the developer from changing it all to high density townhomes just to make more money???",-0.6363,0.0982
23,3,4,Conditional / Nuanced,unclear,False,The zoning laws should be left alone.,The zoning laws should be left alone. It is disgusting how you are taking away communities ability to give input on rezoning on a case by case basis.,0.4766,0.292
